"id","cart_item_id","cart_item_tag_id","created","modified"
"31","3","1","0000-00-00 00:00:00","0000-00-00 00:00:00"
"32","3","2","0000-00-00 00:00:00","0000-00-00 00:00:00"
"50","8","4","0000-00-00 00:00:00","0000-00-00 00:00:00"
"52","6","2","0000-00-00 00:00:00","0000-00-00 00:00:00"
"54","7","2","0000-00-00 00:00:00","0000-00-00 00:00:00"
"56","5","3","0000-00-00 00:00:00","0000-00-00 00:00:00"
"67","1","1","0000-00-00 00:00:00","0000-00-00 00:00:00"
"68","1","2","0000-00-00 00:00:00","0000-00-00 00:00:00"
"71","2","1","0000-00-00 00:00:00","0000-00-00 00:00:00"
"72","2","2","0000-00-00 00:00:00","0000-00-00 00:00:00"
